customer_id,customer_name,contact_name,address_line1,address_line2,city,state,zip_code,phone,email,region,industry_code,segment,customer_type,credit_limit,credit_used,payment_terms,credit_status,account_status,created_date,updated_date,updated_time,updated_by
100000,Figueroa and Sons,Noah Rhodes,600 Jeffery Parkways,,New Jamesside,MT,29394,9402654235,howardmaurice@roman-blair.net,MW,RET,S,R,8358.0,,,2,0,2005-12-20,,,TH
100001,Calderon-Montgomery,Laura Bush,341 Michelle Light,,Shawnstad,GA,49021,3419283276,megan03@trujillo.com,NE,HOS,M,R,96426.0,,,0,0,2023-12-01,,,TH
100002,"Edwards, Rios and Foster",Judy Baker,884 Hurst Locks,,Jeffreyberg,NY,65187,122691669,frazierdanny@potter.com,SW,TRN,S,R,12055.0,,,1,1,1925-12-30,2014-09-21,,NSON
100003,"Baker, Mason and White",Sheila Evans,52880 Burns Creek,,Natashaport,IA,08093,9117182278,ibrandt@vaughn.com,NE,PRO,S,R,17403.0,,,2,1,2015-12-31,,,EM
100004,Brown Inc,Crystal Robinson,031 Michele Cliffs,,West Elizabeth,IL,71179,9973763116,dshields@valdez.com,SE,HLT,T,R,4733.0,,,0,0,,,,TH
100005,"West, Henderson and Ramirez",Thomas Ramos,80132 Tucker Forest,,Barreraburgh,MS,00783,4746872343,adkinsbrian@woods.com,MW,TEC,M,R,52460.0,,,0,1,,1931-07-04,,TH
100006,"Jones, Hensley and Powell",Laura Riley,169 Donovan Ford,,Johnfurt,DC,88540,7510799118,sarahibarra@wood.info,SE,TEC,S,R,13845.0,,,0,1,,,,TH
100007,"Rice, Contreras and Spencer",Ashley Humphrey,18244 Jennifer Ford Suite 874,,North Cynthiaview,AZ,00965,2427868011,brandi26@williams.com,MW,FIN,M,R,52653.0,,,1,1,,,,H
100008,Gomez PLC,Jennifer Oliver,22602 Patton Loop,,West Erik,UT,14669,733754330,michelle45@hicks.com,SE,HOS,S,R,24155.0,,,0,1,,1902-12-28,,SON
100009,Carpenter LLC,Kyle Reed,9816 Jonathan Station Suite 088,,West Ryan,TN,43780,1484656482,christinaturner@bass.org,SW,HLT,T,R,2796.0,,,2,1,,,,WN
100010,"Lewis, Kennedy and Santana",Carolyn Miller,34332 Brandon Mountains Apt. 769,,Lake Heather,NM,52884,2016328708,lauriecontreras@larson.org,WE,PRO,S,R,23128.0,,,1,0,,2006-12-31,,EM
100011,"Griffin, Moore and Hensley",Paul Larsen,734 Jones Heights Apt. 455,Apt. 223,Bensonborough,CA,54878,5876036690,benderkenneth@castaneda-ashley.biz,MW,HLT,S,R,10182.0,,,1,0,2006-12-30,2008-02-03,,H
100012,Freeman LLC,Allen Rogers,272 Rebecca Ramp Apt. 162,,Whiteview,MS,43407,7556464170,debraharrington@williams.com,SE,HOS,M,G,64117.0,,,2,0,,,,EM
100013,Elliott and Sons,David Wood,41904 Sanders Stravenue,Apt. 193,Lake Kendraville,WY,74678,5865185067,bzimmerman@gross.com,NE,ENR,T,R,1319.0,,,1,0,2023-12-30,2005-06-30,,NSON
100014,Graham-Simon,Samuel Rivas,7379 Rogers Park,,Hunterborough,MI,34363,4948083136,fbrewer@mcguire-davis.com,WE,HLT,M,R,88699.0,,,2,0,2020-12-30,,,SON
100015,Kennedy-Schmidt,Patrick Rivera,4431 Leslie Summit Apt. 337,,Jennyhaven,PA,37594,3435240824,heidi27@salas.com,WE,TEC,M,R,80461.0,,,2,0,2029-12-30,,,H
100016,King Group,Austin Vasquez,29413 Angela Mall,,Port Alexandra,NV,58529,9649909133,glennjones@ortiz.org,MW,PRO,M,R,84177.0,,,0,1,1907-12-21,,,TH
100017,Warner-Gibson,Tammy French,1832 Serrano Cliffs,,East Laurashire,PW,38329,1746488771,cassandra01@hayden.org,SE,MFG,S,R,6929.0,,,1,0,,1921-08-28,,NSON
100018,Johnston-Hines,Joseph Ramos,96717 Ortiz Islands Apt. 256,,Robertsfurt,GU,72603,7154516808,aprildean@garrett-wolf.com,SW,RET,E,R,479245.0,,,2,0,2007-12-21,,,WN
100019,"Washington, Johnson and Mccoy",Michelle Collins,613 Steven Crest,,South Sarah,LA,67199,6773782639,kendra65@adams.org,NE,FIN,S,R,18470.0,,,1,0,2019-12-30,,,H
100020,Ryan-Reed,Kimberly Gibson,39636 Louis Mountains Suite 627,,East Wayneshire,MA,13655,1870262174,christianmelissa@james.info,SW,TRN,T,R,2790.0,,,2,0,,,,SON
100021,"Cohen, Mitchell and Perez",William Hodges,2400 Flynn Hill,,Nicholasberg,IA,70122,9222196937,dlittle@estrada-nolan.info,SE,HLT,S,R,23033.0,,,0,0,,,,TH
100022,Landry-Huerta,Victor Vaughn,3671 Patrick Knolls Suite 406,Suite 090,Wallport,WI,30663,3394210470,browningmark@thompson-anderson.net,SE,TEC,T,R,8886.0,,,0,0,,,,SON
100023,Rivas-Scott,Karen Drake,71236 Davis Locks Apt. 481,Suite 549,Carsonstad,CT,88953,7098593174,shahkevin@wilson-young.net,MW,PRO,M,R,97845.0,,,1,0,2020-12-20,,,TH
100024,"Horton, Fernandez and Matthews",Stacey Pena,640 Robinson Mills Apt. 515,,Bruceview,ID,16512,1390053293,lisahall@kramer.com,MW,MFG,S,R,20623.0,,,2,0,2005-12-21,,,SON
100025,"King, Thompson and Guerrero",Adrian Tyler,502 Williams Streets,,Foxland,NJ,59257,8917839084,bboone@rodriguez.com,SE,FIN,E,R,398673.0,,,2,1,2019-12-30,,,TH
100026,"Schultz, Kelley and Nguyen",Kerry Chavez DDS,183 Hayes Forks,,Morganmouth,MO,55025,5654527111,lisa80@frye.biz,WE,TRN,S,G,11693.0,,,0,0,2010-12-20,,,H
100027,"Williams, Roberts and Edwards",Jordan Moore,15851 Andrews Valley Suite 899,,New Sarahview,AK,24148,4550229612,nicholaschavez@wood.com,NE,MFG,S,R,23448.0,,,2,0,,,,NSON
100028,Moore PLC,Brad Ramos,9764 Kari Crescent Suite 614,,Roseport,AZ,29404,9003432445,ythompson@padilla.com,NE,RET,M,R,45676.0,,,0,0,2029-12-01,,,EM
100029,Stevens Inc,Laura Berry,1605 Laurie River Suite 516,Apt. 369,Warrenfurt,VI,41169,3521818835,thomasjames@hernandez.info,WE,MFG,T,R,5905.0,,,0,0,2018-12-20,,,TH
